Song Name,Song ID,Artists,Release Date,Genres,Time (ms)
Wonderwall,1qPbGZqppFwLwcBC1JQ6Vr,['Oasis'],1995-10-02,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",258
Smells Like Teen Spirit,75aLTVBSGIquqzQ6AkmK3Q,['Nirvana'],1991-09-26,"['grunge', 'permanent wave', 'rock']",301
All Star,3cfOd4CMv2snFaKAnMdnvK,['Smash Mouth'],1999-06-08,"['pop rock', 'post-grunge']",200
Under the Bridge,3d9DChrdc6BOeFsbrZ3Is0,['Red Hot Chili Peppers'],1991-09-24,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",264
Iris,6Qyc6fS4DsZjB2mRW9DsQs,['The Goo Goo Dolls'],1998,"['neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",289
Creep,6b2oQwSGFkzsMtQruIWm2p,['Radiohead'],1993-02-22,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",238
Losing My Religion,6FBlNlVx0xrXPb9suicaMM,['R.E.M.'],2003-01-01,"['alternative rock', 'athens indie', 'permanent wave', 'rock']",269
Nothing Else Matters,0nLiqZ6A27jJri2VCalIUs,['Metallica'],1991-08-12,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",388
Come As You Are,7aCSKL5LmVhakVs0l483B5,['Nirvana'],1991-09-26,"['grunge', 'permanent wave', 'rock']",218
I Don't Want To Miss A Thing,1hyuZzPDnSpBBPVztdGDWr,['Aerosmith'],2009-01-01,"['album rock', 'classic rock', 'hard rock', 'rock']",262
Bitter Sweet Symphony - Remastered 2016,57iDDD9N9tTWe75x6qhStw,['The Verve'],1997-09-29,"['britpop', 'permanent wave', 'rock', 'shoegaze']",357
Zombie,2IZZqH4K02UIYg5EohpNHF,['The Cranberries'],1994-10-03,"['irish rock', 'pop rock', 'rock']",306
Basket Case,6L89mwZXSOwYl76YXfX13s,['Green Day'],1994-02-01,"['modern rock', 'permanent wave', 'punk', 'rock']",181
November Rain,3YRCqOhFifThpSRFJ1VWFM,"[""Guns N' Roses""]",1991-09-17,"['glam metal', 'hard rock', 'rock']",536
Killing In The Name,59WN2psjkt1tyaxjspN8fp,['Rage Against The Machine'],1992,"['alternative metal', 'alternative rock', 'conscious hip hop', 'funk metal', 'hard rock', 'nu metal', 'political hip hop', 'post-grunge', 'rap metal', 'rap rock', 'rock']",313
Save Tonight,0smyCrJiibi2uwCiq5R1vj,['Eagle-Eye Cherry'],1998-01-01,['pop rock'],242
What's Up?,0jWgAnTrNZmOGmqgvHhZEm,['4 Non Blondes'],1992-01-01,"['new wave pop', 'pop rock']",295
Self Esteem,1FkoVC85Ds3mFoK0fVqEqP,['The Offspring'],1994-04-08,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']",257
Mr. Jones,5DiXcVovI0FcY2s0icWWUu,['Counting Crows'],1993-01-01,"['neo mellow', 'pop rock', 'post-grunge', 'rock']",272
Song 2,3GfOAdcoc3X5GPiiXmpBjK,['Blur'],2000-10-23,"['alternative rock', 'britpop', 'madchester', 'permanent wave', 'rock']",121
Don't Speak,7H8zey5My6uNdD2TxeCb9F,['No Doubt'],1995-10-10,"['dance pop', 'dance rock', 'permanent wave', 'pop rock', 'rock']",263
Black Hole Sun,2EoOZnxNgtmZaD8uUmz2nD,['Soundgarden'],1994-03-09,"['alternative metal', 'alternative rock', 'classic rock', 'grunge', 'hard rock', 'nu metal', 'rock']",318
More Than Words,2SbsvihBJmgNKZ4qkXFWrp,['Extreme'],1990-01-01,"['funk metal', 'glam metal', 'hard rock']",334
Always,2RChe0r2cMoyOvuKobZy44,['Bon Jovi'],1994-10-18,"['glam metal', 'rock']",353
Wind Of Change,3ovjw5HZZv43SxTwApooCM,['Scorpions'],1990-01-01,"['album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'rock']",312
Enjoy the Silence - Single Mix,1YwNlWLf8auhazSQUDQLFU,"['Depeche Mode', 'Daniel Miller', 'Phil Legg']",1990,"['dance rock', 'new romantic', 'new wave', 'permanent wave', 'rock', 'synthpop']",257
Heart-Shaped Box,0x0DwiHEBZnAXSee0qTzQY,['Nirvana'],1993-09-13,"['grunge', 'permanent wave', 'rock']",278
Linger,0gEyKnHvgkrkBM6fbeHdwK,['The Cranberries'],1993-03-01,"['irish rock', 'pop rock', 'rock']",274
Two Princes,0cuq829zRNq4AEdmDJA4aw,['Spin Doctors'],1991,"['pop rock', 'post-grunge']",256
